Name,Reference,Count,Subitems names,Status,Segment,Location,Description
"VZ 1000-12, RA1, Gr. 1",ANT9D8,5,"VZ 1000-12, RA1, Gr. 1, VZ 1000-12, RA1, Gr. 1, VZ 1000-12, RA1, Gr. 1, VZ 1000-12, RA1, Gr. 1, VZ 1000-12, RA1, Gr. 1",ready,artikel,SLT Rental - Krefeld,"Verkehrszeichen 1000-12<br>
Bedeutung: Fußgänger Gehweg links gegenüber benutzen<br>
Reflektionsklasse: RA1<br>
Flachform: 2 mm<br>
Seitenlänge: 231 mm x 420 mm
"
"VZ 1000-12, RA1, Gr. 2",DEXR4U,2,"VZ 1000-12, RA1, Gr. 2, VZ 1000-12, RA1, Gr. 2",ready,artikel,SLT Rental - Krefeld,"Verkehrszeichen 1000-12<br>
Bedeutung: Fußgänger Gehweg links gegenüber benutzen 
Reflektionsklasse: RA1<br>
Flachform: 2 mm<br>
Seitenlänge: 330 mm x 600 mm"
"VZ 1000-22, RA1, Gr. 1",D2MTMY,6,"VZ 1000-22, RA1, Gr. 1, VZ 1000-22, RA1, Gr. 1, VZ 1000-22, RA1, Gr. 1, VZ 1000-22, RA1, Gr. 1, VZ 1000-22, RA1, Gr. 1, VZ 1000-22, RA1, Gr. 1",ready,artikel,SLT Rental - Krefeld,"Verkehrszeichen 1000-22<br>
Bedeutung: Fußgänger Gehweg rechts gegenüber benutzen<br>
Reflektionsklasse: RA1<br>
Flachform: 2 mm<br>
Seitenlänge: 231 mm x 420 mm
"
"VZ 1000-22, RA1, Gr. 2",ICH8W8,2,"VZ 1000-22, RA1, Gr. 2, VZ 1000-22, RA1, Gr. 2",ready,artikel,SLT Rental - Krefeld,"Verkehrszeichen 1000-22<br>
Bedeutung: Fußgänger Gehweg rechts gegenüber benutzen<br>
Reflektionsklasse: RA1<br>
Flachform: 2 mm<br>
Seitenlänge: 330 mm x 600 mm"
"VZ 308, RA1",O79BYU,4,"VZ 308, RA1, VZ 308, RA1, VZ 308, RA1, VZ 308, RA1",ready,artikel,SLT Rental - Krefeld,"Verkehrszeichen 308<br>
Bedeutung: Vorrang vor dem Gegenverkehr<br>
Reflektionsklasse: RA1<br>
Flachform: 2 mm<br>
Seitenlänge: 600 mm x 600 mm
"
"VZ 357, RA1",P2P3JU,1,"VZ 357, RA1",ready,artikel,SLT Rental - Krefeld,"Verkehrszeichen 358<br>
Bedeutung: Sackgasse<br>
Reflektionsklasse: RA1<br>
Flachform: 2 mm<br>
Seitenlänge: 600 mm x 600 mm
"
"VZ Zusatz Neutral, RA1, Gr. 2",GZZWD3,6,"VZ Zusatz Neutral, RA1, Gr. 2, VZ Zusatz Neutral, RA1, Gr. 2, VZ Zusatz Neutral, RA1, Gr. 2, VZ Zusatz Neutral, RA1, Gr. 2, VZ Zusatz Neutral, RA1, Gr. 2, VZ Zusatz Neutral, RA1, Gr. 2",ready,artikel,SLT Rental - Krefeld,"Verkehrszeichen Zusatz<br>
Bedeutung: Zusatzzeichen mit Rand (neutral)<br>
Reflektionsklasse: RA1<br>
Flachform: 2 mm<br>
Seitenlänge: 330 mm x 600 mm"
Hailo L60 - 6 Stufen,K5IH5O,1,Hailo L60,ready,artikel,SLT Rental - Bonn,"Leiter mit 5 Stufen<br/>
Leiterlänge: 1,90 m<br/>
Plattformhöhe: 1,28 m<br/>
Belastbarkeit: 150 kg"
Hailo L60 - 6 Stufen,7HKFN5,1,Hailo L60 - 6 Stufen,ready,artikel,SLT Rental - Krefeld,"Leiter mit 5 Stufen<br/>
Leiterlänge: 1,90 m<br/>
Plattformhöhe: 1,28 m<br/>
Belastbarkeit: 150 kg"
Mehrzweckleiter 3x 11,IMR9B9,1,Hailo MasterStep 7312 Mehrzweckleiter 1 Clone,disabled,artikel,SLT Rental - Krefeld,"Leiter mit 3x 11 Sprossen<br/>
Höhe angelegt: 6,5 m<br/>
Höhe eingefahren: 3,15 m<br/>
Gewicht: 17,6 kg"
Mehrzweckleiter 3x12,V5ZJYP,2,"WERNER 3x12, WERNER 3x12",ready,artikel,SLT Rental - Bonn,"Leiter mit 3x 12 Sprossen<br/>
Leiterlänge: 3,47 m<br/>
Höhe angelegt: 7,95 m<br/>
Höhe eingefahren: 3,5 m"
Mehrzweckleiter 3x12,7XT9BR,5,"WERNER 3x12, WERNER 3x12, 2, WERNER 3x12, 3, WERNER 3x12, 4, WERNER 3x12, 5",ready,artikel,SLT Rental - Krefeld,"Leiter mit 3x 12 Sprossen<br/>
Leiterlänge: 3,47 m<br/>
Höhe angelegt: 7,95 m<br/>
Höhe eingefahren: 3,5 m"
Kaiserthal L50 - 5 Stufen,GQKKRB,1,Kaiserthal L50,ready,artikel,SLT Rental - Bonn,"Leiter mit 5 Stufen<br/>
Leiterlänge: 1,75 m<br/>
Plattformhöhe: 1,02 m<br/>
Belastbarkeit: 150 kg"
Kaiserthal L50 - 5 Stufen,7I1HQL,1,Hailo L60 - 6 Stufen Clone,ready,artikel,SLT Rental - Krefeld,"Leiter mit 5 Stufen<br/>
Leiterlänge: 1,75 m<br/>
Plattformhöhe: 1,02 m<br/>
Belastbarkeit: 150 kg"
" CEE 16A UV auf 3x 16A Schuko",69PG1T,5," CEE 16A UV auf 3x 16A Schuko 1,  CEE 16A UV auf 3x 16A Schuko 2,  CEE 16A UV auf 3x 16A Schuko 3,  CEE 16A UV auf 3x 16A Schuko 4,  CEE 16A UV auf 3x 16A Schuko 5",ready,artikel,SLT Rental - Krefeld,"Produktmaße: 165 x 190 x 85 mm<br/>
<br/>
mit 16 A CEE-Eingang und 3 Schutzkontakt-Ausgängen<br/>
max. Strom: 3 x 16 A<br/>
Schutzart: IP44<br/>"
" CEE 32A UV auf 6x 16A Schuko",KYB943,1," CEE 32A UV auf 6x 16A Schuko",ready,artikel,SLT Rental - Krefeld,"Produktmaße: 465 x 165 x 125 mm <br />
Gewicht: 4,5 kg <br />

Eingangsspannung: 380V, 32A <br />
Eingangsanschluss: CEE, 32A, 5-polig <br />
Stromausgabe: 6 x 230V, 32A <br />
Ausgangsanschluss: Schuko <br />
Sicherungen: 6 x C-16 <br />"
"CEE 32A UV auf 2x 16a CEE, 6x 16A Schuko",X7ZVYH,2,"CEE 32A UV auf 2x 16a CEE, 6x 16A Schuko, 1, CEE 32A UV auf 2x 16a CEE, 6x 16A Schuko, 2",ready,artikel,SLT Rental - Bonn,"Stromverteilung inkl. FI Typ A und Leistungsschutzschalter<br />
Eingang: CEE, 32A, 5-polig <br />
Ausgang: 2x 16A 400V + 6 x 230V<br />"
" CEE Kabel 16A rot 10 m",8AMCNG,10," CEE Kabel 16A rot 10 m 1,  CEE Kabel 16A rot 10 m 2,  CEE Kabel 16A rot 10 m 3,  CEE Kabel 16A rot 10 m 4,  CEE Kabel 16A rot 10 m 5,  CEE Kabel 16A rot 10 m 6,  CEE Kabel 16A rot 10 m 7,  CEE Kabel 16A rot 10 m 8,  CEE Kabel 16A rot 10 m 9,  CEE Kabel 16A rot 10 m 10",ready,artikel,SLT Rental - Krefeld,"10 m Verlängerungskabel mit Stecker und Kupplung<br/>
Marke / Hersteller: Mennekes / Titanex <br />
Kabel- Typ: H07RN-F5G2,5 - A16 rot <br />
Kabellänge: 10 m <br />
Gewicht: 3,9 kg <br />"
CEE Kabel 16A rot 10 m,FZV4QW,5,"CEE Kabel 16A rot 10 m, 1, CEE Kabel 16A rot 10 m, 2, CEE Kabel 16A rot 10 m, 3, CEE Kabel 16A rot 10 m, 4, CEE Kabel 16A rot 10 m, 5",ready,artikel,SLT Rental - Bonn,"10 m Verlängerungskabel mit Stecker und Kupplung<br/>
Marke / Hersteller: Mennekes / Titanex <br />
Kabel- Typ: H07RN-F5G2,5 - A16 rot <br />
Kabellänge: 10 m <br />
Gewicht: 3,9 kg <br />"
"Erdungsspies 1,5m mit 3m Leitung",SB6Z2F,3,"Erdungsspies 1,5m mit 3m Leitung 1, Erdungsspies 1,5m mit 3m Leitung 2, Erdungsspies 1,5m mit 3m Leitung 3",ready,artikel,SLT Rental - Krefeld,"Erdungs Anschlußleitung 16mm² <br />
Leitungslänge: 3m <br />
Flexible Verbindungssleitung H07V-K grün-gelb <br />
Rohr Kabelschuh (eine Seite 8mm Lochdurchmesser, zweite Seite 10mm Lochdurchmesser) <br />
Zur Verbindung von Erdungspunkten (z.B. Staberder) mit ortveränderlichen Einrichtungen wie Baustromverteiler, Notstromaggregaten, Fahrzeugen etc."
" Major EtherCon Kabel 3 m, Cat 7",UDHP5O,10," Major EtherCon Kabel 3 m, Cat 7 1,  Major EtherCon Kabel 3 m, Cat 7 2,  Major EtherCon Kabel 3 m, Cat 7 3,  Major EtherCon Kabel 3 m, Cat 7 4,  Major EtherCon Kabel 3 m, Cat 7 5,  Major EtherCon Kabel 3 m, Cat 7 6,  Major EtherCon Kabel 3 m, Cat 7 7,  Major EtherCon Kabel 3 m, Cat 7 8,  Major EtherCon Kabel 3 m, Cat 7 9,  Major EtherCon Kabel 3 m, Cat 7 10",ready,artikel,SLT Rental - Krefeld,"Marke / Hersteller: Major <br />
Kabellänge: 3 m <br />
<br/>
3 m Cat 7 Netzwerkkabel<br/>"
" Major EtherCon Kabel Cat-5e 20m",A7BAWQ,10," Major EtherCon Kabel Cat-5e 20m 1,  Major EtherCon Kabel Cat-5e 20m 2,  Major EtherCon Kabel Cat-5e 20m 3,  Major EtherCon Kabel Cat-5e 20m 4,  Major EtherCon Kabel Cat-5e 20m 5,  Major EtherCon Kabel Cat-5e 20m 6,  Major EtherCon Kabel Cat-5e 20m 7,  Major EtherCon Kabel Cat-5e 20m 8,  Major EtherCon Kabel Cat-5e 20m 9,  Major EtherCon Kabel Cat-5e 20m 10",ready,artikel,SLT Rental - Krefeld,"Marke / Hersteller: Major <br />
Kabellänge: 20 m <br />
<br/>
20 m Cat-5e Netzwerkkabel<br/>"
" Major Netzwerkkabel Cat-7 30m",T7E3LU,10," Major Netzwerkkabel Cat-7 30m 1,  Major Netzwerkkabel Cat-7 30m 2,  Major Netzwerkkabel Cat-7 30m 3,  Major Netzwerkkabel Cat-7 30m 4,  Major Netzwerkkabel Cat-7 30m 5,  Major Netzwerkkabel Cat-7 30m 6,  Major Netzwerkkabel Cat-7 30m 7,  Major Netzwerkkabel Cat-7 30m 8,  Major Netzwerkkabel Cat-7 30m 9,  Major Netzwerkkabel Cat-7 30m 10",ready,artikel,SLT Rental - Krefeld,"Marke / Hersteller: Major <br />
Kabellänge: 30 m <br />
<br/>
30 m Cat-7 Netzwerkkabel<br/>"
" PowerCon Linkkable 1,5 m",792P5K,50," PowerCon Linkkable 1,5 m 1,  PowerCon Linkkable 1,5 m 2,  PowerCon Linkkable 1,5 m 3,  PowerCon Linkkable 1,5 m 4,  PowerCon Linkkable 1,5 m 5,  PowerCon Linkkable 1,5 m 6,  PowerCon Linkkable 1,5 m 7,  PowerCon Linkkable 1,5 m 8,  PowerCon Linkkable 1,5 m 9,  PowerCon Linkkable 1,5 m 10,  PowerCon Linkkable 1,5 m 11,  PowerCon Linkkable 1,5 m 12,  PowerCon Linkkable 1,5 m 13,  PowerCon Linkkable 1,5 m 14,  PowerCon Linkkable 1,5 m 15,  PowerCon Linkkable 1,5 m 16,  PowerCon Linkkable 1,5 m 17,  PowerCon Linkkable 1,5 m 18,  PowerCon Linkkable 1,5 m 19,  PowerCon Linkkable 1,5 m 20,  PowerCon Linkkable 1,5 m 21,  PowerCon Linkkable 1,5 m 22,  PowerCon Linkkable 1,5 m 23,  PowerCon Linkkable 1,5 m 24,  PowerCon Linkkable 1,5 m 25,  PowerCon Linkkable 1,5 m 26,  PowerCon Linkkable 1,5 m 27,  PowerCon Linkkable 1,5 m 28,  PowerCon Linkkable 1,5 m 29,  PowerCon Linkkable 1,5 m 30,  PowerCon Linkkable 1,5 m 31,  PowerCon Linkkable 1,5 m 32,  PowerCon Linkkable 1,5 m 33,  PowerCon Linkkable 1,5 m 34,  PowerCon Linkkable 1,5 m 35,  PowerCon Linkkable 1,5 m 36,  PowerCon Linkkable 1,5 m 37,  PowerCon Linkkable 1,5 m 38,  PowerCon Linkkable 1,5 m 39,  PowerCon Linkkable 1,5 m 40,  PowerCon Linkkable 1,5 m 41,  PowerCon Linkkable 1,5 m 42,  PowerCon Linkkable 1,5 m 43,  PowerCon Linkkable 1,5 m 44,  PowerCon Linkkable 1,5 m 45,  PowerCon Linkkable 1,5 m 46,  PowerCon Linkkable 1,5 m 47,  PowerCon Linkkable 1,5 m 48,  PowerCon Linkkable 1,5 m 49,  PowerCon Linkkable 1,5 m 50",ready,artikel,SLT Rental - Krefeld,"Marke / Hersteller: Neutrik / Titanex <br />
Typ: 3 m Linkkable H07RN-F3G2,5 - 16A<br/>
Kabellänge: 3,5 m <br />
Gewicht: ca. 0,4 kg <br />"
" PowerCon TRUE1 Top Linkkabel 5 m",9BNX8U,20," PowerCon TRUE1 Top Linkkabel 5 m 1,  PowerCon TRUE1 Top Linkkabel 5 m 2,  PowerCon TRUE1 Top Linkkabel 5 m 3,  PowerCon TRUE1 Top Linkkabel 5 m 4,  PowerCon TRUE1 Top Linkkabel 5 m 5,  PowerCon TRUE1 Top Linkkabel 5 m 6,  PowerCon TRUE1 Top Linkkabel 5 m 7,  PowerCon TRUE1 Top Linkkabel 5 m 8,  PowerCon TRUE1 Top Linkkabel 5 m 9,  PowerCon TRUE1 Top Linkkabel 5 m 10,  PowerCon TRUE1 Top Linkkabel 5 m 11,  PowerCon TRUE1 Top Linkkabel 5 m 12,  PowerCon TRUE1 Top Linkkabel 5 m 13,  PowerCon TRUE1 Top Linkkabel 5 m 14,  PowerCon TRUE1 Top Linkkabel 5 m 15,  PowerCon TRUE1 Top Linkkabel 5 m 16,  PowerCon TRUE1 Top Linkkabel 5 m 17,  PowerCon TRUE1 Top Linkkabel 5 m 18,  PowerCon TRUE1 Top Linkkabel 5 m 19,  PowerCon TRUE1 Top Linkkabel 5 m 20",ready,artikel,SLT Rental - Krefeld,"Marke / Hersteller: Neutrik / Titanex <br />
Typ: 3 m Linkkable H07RN-F3G2,5 - 16A<br/>
Kabellänge: 5 m <br />
Gewicht: ca. 1,3 kg"
" PowerCon TRUE1 Top Linkkable 3 m",4EWYOO,10," PowerCon TRUE1 Top Linkkable 3 m 1,  PowerCon TRUE1 Top Linkkable 3 m 2,  PowerCon TRUE1 Top Linkkable 3 m 3,  PowerCon TRUE1 Top Linkkable 3 m 4,  PowerCon TRUE1 Top Linkkable 3 m 5,  PowerCon TRUE1 Top Linkkable 3 m 6,  PowerCon TRUE1 Top Linkkable 3 m 7,  PowerCon TRUE1 Top Linkkable 3 m 8,  PowerCon TRUE1 Top Linkkable 3 m 9,  PowerCon TRUE1 Top Linkkable 3 m 10",ready,artikel,SLT Rental - Krefeld,"Marke / Hersteller: Neutrik / Titanex <br />
Kabel- Typ: 3 m Linkkable H07RN-F3G2,5 - 16A<br/>
Kabellänge: 3 m <br />
Gewicht: ca. 0,7 kg <br />"
"2,8 kVA Stromaggregat",INO6QP,1,"Ford FG4050, 73",ready,artikel,SLT Rental - Bonn,"Typ: FG4050 <br />
Spitzenleistung: 2800 Watt<br />
Dauerleistung: 2500 Watt<br />
Spannung: 230 V<br />
Anschlüsse: 2x Schuko 16A<br />
Drehzahl: 1500 U/min<br />
Frequenz: 50 Hz<br />
Gewicht: ca. 50 kg<br />
Abmessung (LxBxH): 64 cm x 47 cm x 53 cm<br />
Tankinhalt: 15 l<br />
Autonomie bei Nennleistung: ca. 5,5h<br />
Kraftstoff: Benzin<br />
Sonderausstattung: auf Rollen<br />
<br />
inkl. 8 Betriebsstunden/Tag, Mehrstunden werden mit brutto 8,-€ pro Std. berechnet.<br/>
zzgl. Verbrauch, Tankfüllung je Mietgerät - Rückgabe des Mietgeräts mit vollgetankten Tank vereinbart. Benzin wird mit brutto 3,20€/l berechnet."
"2,8 kVA Stromaggregat",Q241BU,1,"2,8 kVA Aggregat",ready,artikel,SLT Rental - Krefeld,"Typ: FG4050 <br />
Spitzenleistung: 2800 Watt<br />
Dauerleistung: 2500 Watt<br />
Spannung: 230 V<br />
Anschlüsse: 2x Schuko 16A<br />
Drehzahl: 1500 U/min<br />
Frequenz: 50 Hz<br />
Gewicht: ca. 50 kg<br />
Abmessung (LxBxH): 64 cm x 47 cm x 53 cm<br />
Tankinhalt: 15 l<br />
Autonomie bei Nennleistung: ca. 5,5h<br />
Kraftstoff: Benzin<br />
Sonderausstattung: auf Rollen<br />
<br />
inkl. 8 Betriebsstunden/Tag, Mehrstunden werden mit brutto 8,-€ pro Std. berechnet.<br/>
zzgl. Verbrauch, Tankfüllung je Mietgerät - Rückgabe des Mietgeräts mit vollgetankten Tank vereinbart. Benzin wird mit brutto 3,20€/l berechnet."
2.1 Soundsystem,SIHY5A,1,2.1 Soundsystem ,ready,artikel,SLT Rental - Bonn,"Aktive 2.1 Anlage mit 1400W RMS Systemleistung und integriertem 4-Kanal Mischpult<br/>
Für bis zu ca. 75 Personen geeignet<br/>
Maximaler Schalldruck: 126 dB (kontinuierlich) oder 129 dB (Peak) <br/>
<br/>
Integriertes Mischpult:<br/>
Mikrofon-Eingänge: 2 x Combo XLR/6,35 (1/4"")<br/>
Line-Eingänge: 2 x symmetrisch 6,35 (1/4"")<br/>
Stereo-Eingänge: 2 x symmetrisch 6,35 (1/4"") und 2 x RCA <br/>
Paralleler Ausgang: 2 x symmetrisch 6,35 (1/4"") (Stereo-Ausgang)<br/>
<br/>
inkl. 1x Stativ,1x Distanzstange, 1x 3m & 1x 5m Speakonkabel & Miniklinke auf XLR Adapter."
2.1 Soundsystem,HP9CD4,2,"2.1 Soundsystem, 2.1 Soundsystem",ready,artikel,SLT Rental - Krefeld,"Aktive 2.1 Anlage mit 1400W RMS Systemleistung und integriertem 4-Kanal Mischpult<br/>
<br/>
&#128101 Bis 75 Personen<br/>
&#x1F4E2 126 Dezibel Lautstärke<br/>
&#x1F4E1 Kabellose Verbindung<br/>
&#x1F4F6 Bluetooth-fähig<br/>
&#127899 Integriertes Mischpult<br/>
&#128209 Anschlüsse: XLR, AUX, Klinke<br/>
&#x1F6E0 Einfacher Aufbau garantiert<br/>
&#x2696 Gewicht: 55 kg<br/>
<br/>
inkl. 1x Stativ,1x Distanzstange, 1x 3m & 1x 5m Speakonkabel & Miniklinke auf XLR Adapter & Bluetooth Empfänger."
20 kVA Atromaggregat ,GMKLML,1,"Doosan G20, 0182",ready,artikel,SLT Rental - Bonn,"Spitzenleistung: 20 kVA <br />
Dauerleistung: 19 kVA/15,2 kW <br />
Emissionsklasse: EU Stage V <br />
Batteriespannung: 12 V <br />
Anschlüsse: 2x Schuko 16A & 1x CEE 32A 5Pol <br />
Drehzahl: 1500 U/min <br />
Frequenz: 50 Hz <br />
Gewicht: ca. 1003kg <br />
Abmessung Aggregat (LxBxH): 187 × 82 × 149,5 cm <br />
Tankinhalt: 181 l <br />
Autonomie bei Nennleistung: ca. 47h <br />
Kraftstoff: Diesel <br />
Zusatzausstattung: optional mit Anhänger<br/>
<br/>
inkl. 8 Betriebsstunden/Tag, Mehrstunden werden mit brutto 10,-€ pro Std. berechnet.<br/>
zzgl. Verbrauch, Tankfüllung je Mietgerät - Rückgabe des Mietgeräts mit vollgetankten Tank vereinbart. Diesel wird mit brutto 2,45€/l berechnet."
20 kVA Stromaggregat,CGYRQH,2,"Doosan G20, 0186, 20 kVA Aggregat, 2",ready,artikel,SLT Rental - Krefeld,"Spitzenleistung: 20 kVA <br />
Dauerleistung: 19 kVA/15,2 kW <br />
Emissionsklasse: EU Stage V <br />
Batteriespannung: 12 V <br />
Anschlüsse: 2x Schuko 16A & 1x CEE 32A 5Pol <br />
Drehzahl: 1500 U/min <br />
Frequenz: 50 Hz <br />
Gewicht: ca. 1003kg <br />
Abmessung Aggregat (LxBxH): 187 × 82 × 149,5 cm <br />
Tankinhalt: 181 l <br />
Autonomie bei Nennleistung: ca. 47h <br />
Kraftstoff: Diesel <br />
Zusatzausstattung: optional mit Anhänger<br/>
<br/>
inkl. 8 Betriebsstunden/Tag, Mehrstunden werden mit brutto 10,-€ pro Std. berechnet.<br/>
zzgl. Verbrauch, Tankfüllung je Mietgerät - Rückgabe des Mietgeräts mit vollgetankten Tank vereinbart. Diesel wird mit brutto 2,45€/l berechnet."
4m³ Kompressor,4UGSQN,1,Kompressor,ready,artikel,SLT Rental - Krefeld,"Kompressor inkl. Generator<br />
Marke: Doosan<br />
Typ: 7/45<br />
Volumenstrom: 4m³/min <br />
max. Druck: 6,8 bar <br />
Emissionsklasse: EU Stage V <br />
Batteriespannung: 12 V <br />
Anschlüsse: 3x  <br />
Drehzahl: 1500 U/min <br />
Gewicht: ca. 680 kg <br />
Tankinhalt: 58 l <br />
Kraftstoff: Diesel <br />
Abgasnorm: Stage V<br />
Zusatzausstattung: auf Fahrgestell<br/>
Generator: 6 kVA 400V/230V<br />
<br/>
inkl. 8 Betriebsstunden/Tag, Mehrstunden werden mit brutto 10,-€ pro Std. berechnet.<br/>
zzgl. Verbrauch, Tankfüllung je Mietgerät - Rückgabe des Mietgeräts mit vollgetankten Tank vereinbart. Diesel wird mit brutto 2,85€/l berechnet."
100 kVA Stromaggregat,E7TNYQ,1,Doosan G100 Stromaggregat,ready,artikel,SLT Rental - Krefeld,"Doosan G100 Stromaggregat auf PKW Anhänger<br />
Spitzenleistung: 120 kVA <br />
Dauerleistung: 100 kVA/80 kW <br />
Emissionsklasse: EU Stage V <br />
Batteriespannung: 12 V<br />
Anschlüsse: 2x Schuko 16A & 1x CEE 32A 5Pol, 1x CEE 63A 5Pol, 1x CEE 125A 5Pol<br />
Drehzahl: 1500 U/min<br />
Frequenz: 50 Hz<br />
Gewicht: ca. 2061kg<br />
Gewicht Aggregat + Anhänger: ca. 2400 kg<br />
Abmessung Aggregat (LxBxH): 187 × 82 × 149,5 cm<br />
Tankinhalt: 176 l<br />
Autonomie bei 75% Last: ca. 11h<br />
Kraftstoff: Diesel<br />
<br/>
Tankfüllung je Mietgerät - Rückgabe des Mietgeräts mit vollgetankten Tank vereinbart. Diesel wird mit brutto 2,45€/l berechnet. AdBlue wird mit brutto 1,45€/l berechnet. "
2 kW Elektro Heizlüfter,CD894R,3,"2kW Elektro Heizlüfter 1, 2kW Elektro Heizlüfter 2, 2kW Elektro Heizlüfter 3",ready,artikel,SLT Rental - Krefeld,"Heizleistung: 1 kW & 2 kW<br/>
Elektroanschluss: 230 V<br/>
Leistungsaufnahme: 2 kW<br/>
Luftleistung: 500 m³/h"
2 kW Elektro Heizpilz,552B4C,7,"2 kW Elektro Heizpilz, 1, 2 kW Elektro Heizpilz, 2, 2 kW Elektro Heizpilz, 3, 2 kW Elektro Heizpilz, 4, 2 kW Elektro Heizpilz, 5, 2 kW Elektro Heizpilz, 6, 2 kW Elektro Heizpilz, 7",ready,artikel,SLT Rental - Krefeld,"Heizleistung: 1 kW & 2 kW<br/>
Elektroanschluss: 230 V<br/>
Leistungsaufnahme: 2 kW<br/>
Wirkungsfläche: ca 15m²<br/>
Höhenverstellbar: 194 cm - 210 cm"
2 kW Elektro Heizpilz,MSKYPD,7,"2 kW Heizpilz, 1, 2 kW Heizpilz, 2, 2 kW Heizpilz, 3, 2 kW Heizpilz, 4, 2 kW Heizpilz, 5, 2 kW Heizpilz, 6, 2 kW Heizpilz, 7",ready,artikel,SLT Rental - Bonn,"Heizleistung: 1 kW & 2 kW<br/>
Elektroanschluss: 230 V<br/>
Leistungsaufnahme: 2 kW<br/>
Wirkungsfläche: ca 15m²<br/>
Höhenverstellbar: 194 cm - 210 cm"
Allegra 3 kW Elektro Heizlüfter,5FW6KJ,6,"Allegra AB-H30, 69, Allegra AB-H30, 66, Allegra AB-H30, 17, Allegra AB-H30, 76, Allegra AB-H30, 56, Allegra AB-H30, 62",ready,artikel,SLT Rental - Krefeld,"Heizleistung: 1,5 kW & 3 kW<br/>
Elektroanschluss: 230 V<br/>
Leistungsaufnahme: 3 kW<br/>
Luftleistung: 510 m³/h"
Allegra 3 kW Elektro Heizlüfter,YWLOT7,4,"AB-H30, 05, AB-H30,627, AB-H30, 827, AB-H30 , 74",ready,artikel,SLT Rental - Bonn,"Heizleistung: 1,5 kW & 3 kW<br/>
Elektroanschluss: 230 V<br/>
Leistungsaufnahme: 3 kW<br/>
Luftleistung: 510 m³/h"
Partyzelt 3x3m,U5FLRB,2,"Partyzelt 3x3m, 1, Partyzelt 3x3m, 2",ready,artikel,SLT Rental - Krefeld,"Partyzelt mit 9m²<br/>
Grundfläche: 3 m x 3 m<br/>
Farbe: weiß<br/>
inkl. Dachspanner gegen die Bildung von Wassersäcken<br/>
UV-beständiges 500 g/m² PVC Plane, ähnlich einer LKW Plane- rasterfaserverstärkt<br/>
<br/>
Platzberechnung: <br/>
ohne Bestuhlung/Stehtische: 0,6m²/Person<br/>
Reihenbestuhlung/Bierzeltgarnituren: 0,71m²/Person<br/>
<br/>
Das Zelt ist trocken zurückzugeben, anderfalls berechnen wir eine Trocknungspauschale in Höhe von 60€"
Partyzelt 3x3m,ZPBA4S,1,"Partyzelt 3x3m, 1",ready,artikel,SLT Rental - Bonn,"Partyzelt mit 9m²<br/>
Grundfläche: 3 m x 3 m<br/>
Farbe: weiß<br/>
inkl. Dachspanner gegen die Bildung von Wassersäcken<br/>
UV-beständiges 500 g/m² PVC Plane, ähnlich einer LKW Plane- rasterfaserverstärkt<br/>
<br/>
Platzberechnung: <br/>
ohne Bestuhlung/Stehtische: 0,6m²/Person<br/>
Reihenbestuhlung/Bierzeltgarnituren: 0,71m²/Person<br/>
<br/>
Das Zelt ist trocken zurückzugeben, anderfalls berechnen wir eine Trocknungspauschale in Höhe von 60€"
Partyzelt 4x4m,4ZSXIQ,2,"Partyzelt 4x4m, 1, Standard 02",ready,artikel,SLT Rental - Krefeld,"Partyzelt mit 16 m²<br/>
Grundfläche: 4 m x 4 m<br/>
Farbe: weiß<br/>
inkl. Dachspanner gegen die Bildung von Wassersäcken<br/>
UV-beständiges 500 g/m² PVC Plane, ähnlich einer LKW Plane- rasterfaserverstärkt<br/>
<br/>
Platzberechnung: <br/>
ohne Bestuhlung/Stehtische: 0,6m²/Person<br/>
Reihenbestuhlung/Bierzeltgarnituren: 0,71m²/Person<br/>
<br/>
Das Zelt ist trocken zurückzugeben, anderfalls berechnen wir eine Trocknungspauschale in Höhe von 60€"
Sonnenschirm,S8U5XL,7,"Schirm, Sonnenschirm 02, Sonnenschirm 03, Sonnenschirm 04, Sonnenschirm 05, Sonnenschirm 06, Sonnenschirm 07",ready,artikel,SLT Rental - Bonn,"Sonnenschirm<br/>
Durchmesser: 3 m<br/>
Höhe: 2,6m<br/>
Farbe: weiß<br/>
inkl. 40kg Schirmständer<br/>
Der Schirm ist trocken zurückzugeben, anderfalls berechnen wir eine Trocknungspauschale in Höhe von 20€"
Eventzelt 6x8m extra hoch,7PGYQB,1,Eventzelt 6x8m,ready,artikel,SLT Rental - Krefeld,"Eventzelt mit 48 m² und extra hohen Seiten (2,6m)<br/>
Grundfläche (BxL): 6 m x 8 m<br/>
Durchgangshöhe: 2,6m<br/>
Farbe: weiß<br/>
inkl. Seiten und Stirnwände<br/>
inkl. Dachstangen gegen die Bildung von Wassersäcken<br/>
UV-beständiges 500 g/m² PVC Plane, ähnlich einer LKW Plane- rasterfaserverstärkt<br/>
<br/>
Platzberechnung: <br/>
ohne Bestuhlung/Stehtische: 0,6m²/Person<br/>
Reihenbestuhlung/Bierzeltgarnituren: 0,71m²/Person<br/>
<br/>
Das Zelt ist trocken zurückzugeben, anderfalls berechnen wir eine Trocknungspauschale in Höhe von 150€"
